tiempo_t,anio,trimestre,variable,modelo,prediccion,lim_inf_80,lim_sup_80,lim_inf_95,lim_sup_95
2025.0,2025,I,pobreza_total,Holt-Winters,11.594244905917712,10.789084460930717,12.399405350904708,10.361342974531375,12.82714683730405
2025.25,2025,II,pobreza_total,Holt-Winters,11.64689550024219,10.508226679055223,12.785564321429156,9.903308867799648,13.390482132684731
2025.5,2025,III,pobreza_total,Holt-Winters,12.03291912174214,10.638340322779896,13.427497920704383,9.897470335831205,14.168367907653074
2025.75,2025,IV,pobreza_total,Holt-Winters,11.513169626780272,9.902848736806279,13.123490516754265,9.047365764007596,13.978973489552947
2026.0,2026,I,pobreza_total,Holt-Winters,11.198964631862664,9.39857114407776,12.999358119647567,8.44211210369203,13.955817160033297
2026.25,2026,II,pobreza_total,Holt-Winters,11.251615226187141,9.279382974896755,13.223847477477527,8.231634591398738,14.271595860975545
2026.5,2026,III,pobreza_total,Holt-Winters,11.637638847687091,9.507384544745397,13.767893150628785,8.37568694630762,14.899590749066562
2026.75,2026,IV,pobreza_total,Holt-Winters,11.117889352725223,8.84055171035129,13.395226995099156,7.630716087840138,14.605062617610308
2027.0,2027,I,pobreza_total,Holt-Winters,10.803684357807617,8.388203022846628,13.219165692768605,7.104978563648603,14.50239015196663
2027.25,2027,II,pobreza_total,Holt-Winters,10.856334952132094,8.310194064098486,13.402475840165703,6.95755671733063,14.75511318693356
2027.5,2027,III,pobreza_total,Holt-Winters,11.242358573632044,8.571943481574587,13.912773665689501,7.153285463919064,15.331431683345023
2027.75,2027,IV,pobreza_total,Holt-Winters,10.722609078670175,7.933451480745688,13.511766676594661,6.451711506848305,14.993506650492044
2028.0,2028,I,pobreza_total,Holt-Winters,10.408404083752568,7.505356814376551,13.311451353128586,5.963112952520543,14.853695214984594
2028.25,2028,II,pobreza_total,Holt-Winters,10.461054678077046,7.448420151553258,13.473689204600834,5.847958059337496,15.074151296816595
2028.5,2028,III,pobreza_total,Holt-Winters,10.847078299576996,7.728705305117407,13.965451294036585,6.07206965181075,15.622086947343242
2028.75,2028,IV,pobreza_total,Holt-Winters,10.327328804615128,7.106687024667144,13.547970584563112,5.3957210790697765,15.25893653016048
2029.0,2029,I,pobreza_total,Holt-Winters,10.013123809697522,6.693362249446819,13.332885369948224,4.929738920563633,15.09650869883141
2029.25,2029,II,pobreza_total,Holt-Winters,10.065774404022,6.649767940461101,13.481780867582899,4.835014506694374,15.296534301349624
2029.5,2029,III,pobreza_total,Holt-Winters,10.45179802552195,6.942185012487393,13.961411038556506,5.077703099312785,15.825892951731113
2029.75,2029,IV,pobreza_total,Holt-Winters,9.932048530560081,6.331261554990274,13.532835506129889,4.418343474218815,15.445753586901347
2030.0,2030,I,pobreza_total,Holt-Winters,9.617843535642473,5.928134849905236,13.30755222137971,3.967977110607329,15.267709960677617
2030.25,2030,II,pobreza_total,Holt-Winters,9.67049412996695,5.893956889613499,13.447031370320403,3.887671480675727,15.453316779258174
2030.5,2030,III,pobreza_total,Holt-Winters,10.0565177514669,6.195103908073769,13.917931594860033,4.143727803771167,15.969307699162634
2030.75,2030,IV,pobreza_total,Holt-Winters,9.536768256505033,5.592303753924261,13.481232759085804,3.4968069869282257,15.57672952608184
